_record_id,_created_time,Calendrier_ID,Date,DoW,Jour,Mois_Num,Mois,Semaine_Num,Type Semaine,Semaine,Date_Text,Nb Interventions,Créneau,Type,Type_Code,Programmation,Lieu,Genre_Code
rec06BwiFzXrJzKgE,2024-09-26T07:06:16.000Z,484,2025-04-28,0,Lundi,4,Avril,18,Paire,p,2025-04-28,0,,,,,,
rec09mmLlOUTrN0vu,2024-09-26T07:06:16.000Z,494,2025-05-08,3,Jeudi,5,Mai,19,Impaire,i,2025-05-08,0,,,,,,
rec0AwWsAS3rySW6y,2024-09-26T07:06:16.000Z,702,2025-12-02,1,Mardi,12,Décembre,49,Impaire,i,2025-12-02,0,,,,,,
rec0Isw3Lg4kLYCGG,2024-03-29T08:28:32.000Z,295,2024-10-21,0,Lundi,10,Octobre,43,Impaire,i,2024-10-21,0,Matin,['recJGKRZfhagpda3u'],['C'],['recTOgP929sOSSgQV'],['recA80D22W4bQ2ohu'],['R']
rec0JQzrm2GxSBb8j,2024-03-29T08:28:32.000Z,359,2024-12-24,1,Mardi,12,Décembre,52,Paire,p,2024-12-24,0,,['recSFc4AtaArm2b58'],,['recsJ03hkDUdz1495'],,
rec0OD49wpXGaPnk9,2024-09-26T07:06:16.000Z,407,2025-02-10,0,Lundi,2,Février,7,Impaire,i,2025-02-10,0,,['recSFc4AtaArm2b58'],,['recjE9HbjnjfqPEVQ'],,
rec0QoIQz9DGEchgF,2024-03-29T08:28:32.000Z,215,2024-08-02,4,Vendredi,8,Août,31,Impaire,i,2024-08-02,0,,['recJAkVHWvlzqHJ14'],['A'],['recNCdkZEIopYhblV'],,['C']
rec0QvoCrFSAJUBMz,2024-09-26T07:06:16.000Z,401,2025-02-04,1,Mardi,2,Février,6,Paire,p,2025-02-04,0,,,,,,
rec0SZGH1NPbU42mE,2024-03-29T08:28:32.000Z,152,2024-05-31,4,Vendredi,5,Mai,22,Paire,p,2024-05-31,0,,,,,,
rec0VlQbaaBFgFEMU,2024-09-26T07:06:16.000Z,395,2025-01-29,2,Mercredi,1,Janvier,5,Impaire,i,2025-01-29,4,Matin,['recRLraGklOfY3G0s'],['B'],"['recu9ojT7SUleGZbK', 'recDDabXmTin1goTM', 'recvZO3UxlqlchPr1', 'recEGswe32fxLymSf', 'recMGPgTRtmJxZLLd']",['rec22SE3uMlVAjrM9'],['R']
